BBEID,BBEScore,BBEVote,numRatings,ratingByStars,LikedPercent
117,140738,1595,348767,"['91609', '109458', '88737', '40359', '18604']",83
118,139981,1648,643254,"['198012', '226593', '147684', '48181', '22784']",89
119,139840,1533,1113222,"['455206', '350955', '210930', '68230', '27901']",91
120,139091,1538,462182,"['236541', '143972', '58204', '16367', '7098']",95
121,138265,1592,1191621,"['360059', '459260', '273369', '71879', '27054']",92
122,137241,1601,396110,"['228021', '90789', '53120', '15051', '9129']",94
123,135685,1553,782188,"['342080', '254400', '133155', '37592', '14961']",93
124,135330,1519,341660,"['145661', '115493', '56338', '17365', '6803']",93
125,132314,1535,301153,"['130650', '103696', '46884', '13442', '6481']",93
126,131268,1528,342208,"['146676', '108350', '61829', '17478', '7875']",93
127,130666,1567,2725847,"['1608855', '748165', '302543', '52312', '13972']",98
128,128488,1519,334837,"['185806', '101665', '35384', '7682', '4300']",96
129,128261,1597,706272,"['130845', '210419', '225668', '96782', '42558']",80
130,125917,1494,529229,"['213888', '189463', '88958', '22917', '14003']",93
131,125348,1445,498931,"['222307', '178182', '74019', '17352', '7071']",95
132,125048,1441,578095,"['210367', '189807', '125731', '37953', '14237']",91
133,124749,1379,573419,"['249642', '148930', '105483', '43911', '25453']",88
134,120396,1483,427837,"['214928', '110671', '72386', '19609', '10243']",93
135,119803,1357,758439,"['324019', '259232', '122365', '37228', '15595']",93
136,119734,1379,746424,"['382868', '221216', '104031', '26008', '12301']",95
137,119713,1343,149079,"['95012', '36645', '12827', '2910', '1685']",97
138,119660,1362,328171,"['127246', '115148', '58545', '18599', '8633']",92
139,118874,1422,969512,"['348320', '336345', '212135', '52958', '19754']",93
140,118406,1476,2127972,"['1023149', '672098', '333179', '71663', '27883']",95
141,116722,1322,487212,"['278346', '136403', '51447', '13455', '7561']",96
142,116529,1354,802411,"['407925', '238592', '111644', '29499', '14751']",94
143,116497,1340,668059,"['424113', '174332', '57016', '8960', '3638']",98
144,115088,1361,141514,"['78697', '40270', '16803', '3312', '2432']",96
145,114552,1359,119745,"['48520', '39420', '23086', '6324', '2395']",93
146,113878,1410,276928,"['112422', '91043', '54625', '13262', '5576']",93
147,113043,1325,355188,"['135191', '119879', '68849', '21372', '9897']",91
148,107478,1284,2896265,"['1527113', '853247', '359399', '95662', '60844']",95
149,107374,1233,8439,"['5262', '2097', '774', '167', '139']",96
150,106643,1268,412147,"['147391', '140262', '81394', '29295', '13805']",90
151,105204,1170,325339,"['181762', '91654', '39391', '8457', '4075']",96
152,104936,1194,1168021,"['440118', '413069', '235259', '62509', '17066']",93
153,104397,1264,314471,"['152746', '99639', '47788', '10572', '3726']",95
154,104191,1217,673094,"['322650', '200662', '109366', '27704', '12712']",94
155,98302,1267,330214,"['196470', '77848', '40129', '10035', '5732']",95
156,97867,1151,287030,"['163826', '79060', '31578', '8422', '4144']",96
